,Business License,Business Name,Inspection Score,Violation Date,Violation,Inspector Comments,Address,City,State,Zip Code,Location
45,09FOOD-0117,Bennison's Bakery,80.0,01/11/2018,(23) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces of equipment and utensils: clean.,The containers storing frosting |  decorations |  bulk food containers |  shelving units |  cabinets |  drawers |  exterior and interiors of refrigerators shall be clean and free of food residue.Please improve on cleaning equipment noted above in all areas if prep.,1000 DAVIS ST,Evanston,IL,60201,"1000 DAVIS ST
Evanston, IL 60201
(42.047053, -87.685091)"
808,09FOOD-0117,Bennison's Bakery,80.0,12/31/2018,(1) FOOD: Source: wholesome; no spoilage,CRITICAL VIOLATION. Containers of moldy raspberries were found in the walk in cooler. Check product daily. The food was discarded.,1000 DAVIS ST,Evanston,IL,60201,"1000 DAVIS ST
Evanston, IL 60201
(42.047053, -87.685091)"
850,09FOOD-0117,Bennison's Bakery,80.0,12/31/2018,"(12) PERSONNEL: Hands washed; clean, good hygienic practices.",CRITICAL VIOLATION. Employee observed touching ready to eat foods with bare hands. There is to be no bare hand contact with ready to eat food. When handling ready to eat foods |  employees must use gloves |  tongs |  tissue paper |  or another barrier.,1000 DAVIS ST,Evanston,IL,60201,"1000 DAVIS ST
Evanston, IL 60201
(42.047053, -87.685091)"
1029,09FOOD-0117,Bennison's Bakery,80.0,12/31/2018,"(14) FOOD EQUIPMENT AND UTENSILS: Food (ice) contact surfaces: designed, constructed, maintained, installed, located.",Multiple wooden prep tables are chipping and flaking. Replace the tables with ones that are durable and easily cleanable.,1000 DAVIS ST,Evanston,IL,60201,"1000 DAVIS ST
Evanston, IL 60201
(42.047053, -87.685091)"
1039,09FOOD-0117,Bennison's Bakery,80.0,12/31/2018,(45) OTHER OPERATIONS: CERTIFIED FOOD HANDLER.,CRITICAL VIOLATION.Employees who require food handler training do not have the certificates. All food handlers must obtain a food handler certificate within 30 days of hire. Course providers can be found here:https://www.ansi.org/Accreditation/credentialing/certificate-issuers/AllDirectoryListing?prgID=237 pct 2C238 and statusID=4,1000 DAVIS ST,Evanston,IL,60201,"1000 DAVIS ST
Evanston, IL 60201
(42.047053, -87.685091)"
27,09FOOD-0117,Bennison's Bakery,80.0,01/11/2018,"(25) FOOD EQUIPMENT AND UTENSILS: Single-service articles: storage, dispensing.",Observed loose single service articles on the floor in hard to reach areas downstairs with rodent excrement on them. Discard the items and store off the floor,1000 DAVIS ST,Evanston,IL,60201,"1000 DAVIS ST
Evanston, IL 60201
(42.047053, -87.685091)"
261,09FOOD-0117,Bennison's Bakery,80.0,12/31/2018,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",The floor under all shelving units is soiled. Sweep and mop the floors everyday.The floor behind prep equipment on the first floor and in the basement is soiled. Sweep and mop the floors everyday.An egg broke on the floor in the walk in cooler. Clean up all spills immediately.,1000 DAVIS ST,Evanston,IL,60201,"1000 DAVIS ST
Evanston, IL 60201
(42.047053, -87.685091)"
40,09FOOD-0117,Bennison's Bakery,80.0,01/11/2018,"(41) OTHER OPERATIONS: Toxic items properly stored, labeled and used.",CRITICAL VIOLATION.Observed 2 spray bottles in the back room one said Hector bleach bottle but was storing a brown liquid that did not test out as bleach and the other spray bottle had over 200 ppm of bleach in it. All spray bottles storing bleach for sanitizing work surfaces shall not exceed 200 ppm chlorine bleach.,1000 DAVIS ST,Evanston,IL,60201,"1000 DAVIS ST
Evanston, IL 60201
(42.047053, -87.685091)"
705,09FOOD-0117,Bennison's Bakery,80.0,12/31/2018,"(41) OTHER OPERATIONS: Toxic items properly stored, labeled and used.",CRITICAL VIOLATION. Chemicals are stored among food product and utensils in many locations throughout the establishment (WD-40 among dishes near the walk in cooler |  Pest Powder above the sugar in the basement |  cleaning/maintenance chemicals above open containers of sprinkles along the hallway in the basement). All chemicals must be stored in a designated area away from food and utensils.,1000 DAVIS ST,Evanston,IL,60201,"1000 DAVIS ST
Evanston, IL 60201
(42.047053, -87.685091)"
222,09FOOD-0358,Joy Yee's Noodles,82.0,08/27/2018,(23) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces of equipment and utensils: clean.,The in counter ice bin near the tea station is in disrepair. Seal the openings surrounding the bin,521 DAVIS ST,Evanston,IL,60201,"521 DAVIS ST
Evanston, IL 60201
(42.045991, -87.678934)"
211,09FOOD-0066,Symphony's,82.0,08/31/2018,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION. Date labeling in the walk in cooler is not consistent. Develop a consistent date labeling method to ensure food is kept no longer than 7 days.,1945 CENTRAL ST,Evanston,IL,60201,"1945 CENTRAL ST
Evanston, IL 60201
(42.064333, -87.700924)"
529,09FOOD-0066,Symphony's,82.0,12/19/2018,(45) OTHER OPERATIONS: CERTIFIED FOOD HANDLER.,CRITICAL VIOLATION. A certified food manager is not present. A certified food manager must be on site at all times. Ensure each shift has a certified food manager. Course providers can be found here: https://www.ansi.org/Accreditation/credentialing/personnel-certification/food-protection-manager/ALLdirectoryListing?menuID=8 and prgID=8 and statusID=4Some staff do not have a food handler certificate. Any employee who handles food (cook |  waitress/waiter |  dishwasher) must obtain a food handler certificate within 30 days of hire. Course providers can be found here: https://www.ansi.org/Accreditation/credentialing/certificate-issuers/AllDirectoryListing?prgID=237 pct 2C238 and statusID=4,1945 CENTRAL ST,Evanston,IL,60201,"1945 CENTRAL ST
Evanston, IL 60201
(42.064333, -87.700924)"
820,09FOOD-0358,Joy Yee's Noodles,82.0,12/18/2018,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Wipe cloths are being stored on prep surfaces. The wipe cloths were placed in the sanitizer bucket.,521 DAVIS ST,Evanston,IL,60201,"521 DAVIS ST
Evanston, IL 60201
(42.045991, -87.678934)"
825,09FOOD-0066,Symphony's,82.0,04/26/2018,(45) OTHER OPERATIONS: CERTIFIED FOOD HANDLER.,CRITICAL VIOLATION. The chefs do not have a food handler certificate. All food handlers are required to have a food handler certificate.,1945 CENTRAL ST,Evanston,IL,60201,"1945 CENTRAL ST
Evanston, IL 60201
(42.064333, -87.700924)"
386,09FOOD-0358,Joy Yee's Noodles,82.0,12/18/2018,(4) FOOD PROTECTION: Facilities to maintain product temperature.,CRITICAL VIOLATION. The small walk in cooler in the front in not working correctly. Staff noticed the cooler not working in the morning and have a technician coming to repair it today. Staff inadvertently stored PHF in the cooler during the lunch. The PHF was moved to another cooler. Do not use the cooler until it has been repaired and can maintain product at 41 F or less.,521 DAVIS ST,Evanston,IL,60201,"521 DAVIS ST
Evanston, IL 60201
(42.045991, -87.678934)"
861,09FOOD-0066,Symphony's,82.0,12/19/2018,"(41) OTHER OPERATIONS: Toxic items properly stored, labeled and used.",CRITICAL VIOLATION. Rodent pesticide is being used incorrectly. Granular was observed on the floor under shelving and equipment. Rodent bait must be contained in a covered |  tamper-resistant bait station.A can of WD-40 is being stored among food. All chemicals must be stored in a designated area away from food.,1945 CENTRAL ST,Evanston,IL,60201,"1945 CENTRAL ST
Evanston, IL 60201
(42.064333, -87.700924)"
866,09FOOD-0066,Symphony's,82.0,12/19/2018,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION. There is no date marking of prepared foods. Any prepared food kept longer for 24 hours must be date labeled and used within 7 days. If not used within 7 days it must be discarded.,1945 CENTRAL ST,Evanston,IL,60201,"1945 CENTRAL ST
Evanston, IL 60201
(42.064333, -87.700924)"
743,09FOOD-0066,Symphony's,82.0,12/19/2018,"(37) FLOORS, WALLS AND CEILINGS: Walls, ceilings, equipment attached: constructed, good repair, clean surfaces; dustless cleaning methods.",The wall paneling in various areas of the kitchen are in disrepair. Replace the damaged walls with FRP or equivalent.,1945 CENTRAL ST,Evanston,IL,60201,"1945 CENTRAL ST
Evanston, IL 60201
(42.064333, -87.700924)"
882,09FOOD-0358,Joy Yee's Noodles,82.0,04/26/2018,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",The floor near the dish machine is in disrepair. Re grout the damaged tiles.,521 DAVIS ST,Evanston,IL,60201,"521 DAVIS ST
Evanston, IL 60201
(42.045991, -87.678934)"
931,09FOOD-0066,Symphony's,82.0,08/31/2018,"(37) FLOORS, WALLS AND CEILINGS: Walls, ceilings, equipment attached: constructed, good repair, clean surfaces; dustless cleaning methods.",There are many miscellaneous holes in the walls. Properly patch the holes. The wall along the cook line is damaged. Repair all the damaged areas. The ceiling tiles in the kitchen are soiled/stained. Replace the ceiling tiles with ones that are non-absorbent and easily cleanable.,1945 CENTRAL ST,Evanston,IL,60201,"1945 CENTRAL ST
Evanston, IL 60201
(42.064333, -87.700924)"
935,09FOOD-0358,Joy Yee's Noodles,82.0,04/26/2018,"(34) GARBAGE AND REFUSE DISPOSAL: Outside storage area, enclosures; properly constructed, clean; controlled incineration.",The outside dumpster area is soiled. This area must remain clean to prevent attracting pests.,521 DAVIS ST,Evanston,IL,60201,"521 DAVIS ST
Evanston, IL 60201
(42.045991, -87.678934)"
950,09FOOD-0066,Symphony's,82.0,08/31/2018,(45) OTHER OPERATIONS: CERTIFIED FOOD HANDLER.,CRITICAL VIOLATION. Some food handlers do not have a food handler certificate. All food handlers must obtain a food handler certificate within 30 days of employment.,1945 CENTRAL ST,Evanston,IL,60201,"1945 CENTRAL ST
Evanston, IL 60201
(42.064333, -87.700924)"
953,09FOOD-0066,Symphony's,82.0,04/26/2018,(38) LIGHTING: Provided as required; fixtures shielded.,The CFL light bulbs above the wait station are not shielded. Provide a cover for the bulbs or use shatter proof bulbs.,1945 CENTRAL ST,Evanston,IL,60201,"1945 CENTRAL ST
Evanston, IL 60201
(42.064333, -87.700924)"
978,09FOOD-0066,Symphony's,82.0,08/31/2018,"(35) INSECT, RODENT, ANIMAL CONTROL: Presence of insects/rodents; outer openings protected; no birds, turtles, other animals.",CRITICAL VIOLATION. Roach activity observed on glue boards throughout the kitchen. Clean floor to ceiling everyday |  paying special attention to cracks and crevices.,1945 CENTRAL ST,Evanston,IL,60201,"1945 CENTRAL ST
Evanston, IL 60201
(42.064333, -87.700924)"
985,09FOOD-0358,Joy Yee's Noodles,82.0,08/27/2018,"(41) OTHER OPERATIONS: Toxic items properly stored, labeled and used.",CRITICAL VIOLATION. There is too much bleach in the wipe bucket. The bucket was remade with the proper concentration.,521 DAVIS ST,Evanston,IL,60201,"521 DAVIS ST
Evanston, IL 60201
(42.045991, -87.678934)"
449,09FOOD-0066,Symphony's,82.0,08/31/2018,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",The sides of cooking equipment are soiled. Routinely clean all food contact surfaces.,1945 CENTRAL ST,Evanston,IL,60201,"1945 CENTRAL ST
Evanston, IL 60201
(42.064333, -87.700924)"
1047,09FOOD-0358,Joy Yee's Noodles,82.0,08/27/2018,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",The floor grout near the prep sink is in disrepair. Repair the damaged grout. The baseboard outside the bathrooms is damaged. Repair the damage.,521 DAVIS ST,Evanston,IL,60201,"521 DAVIS ST
Evanston, IL 60201
(42.045991, -87.678934)"
890,09FOOD-0066,Symphony's,82.0,04/26/2018,(1) FOOD:  Source: wholesome; no spoilage,CRITICAL VIOLATION. Establishment is serving pre-packaged juice that is unpasteurized. Pre-packaged juice must be pasteurized. Since the establishment offers undercooked eggs for consumption they must list a consumer advisory stating the following: Consuming raw or undercooked MEATS |  POULTRY |  seafood |  shellfish |  or EGGS may increase your RISK of foodborne illness,1945 CENTRAL ST,Evanston,IL,60201,"1945 CENTRAL ST
Evanston, IL 60201
(42.064333, -87.700924)"
246,09FOOD-0358,Joy Yee's Noodles,82.0,04/26/2018,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION. Cut leafy greens and a container of Half  and  Half we're sitting out at 68 F. Both were discarded.,521 DAVIS ST,Evanston,IL,60201,"521 DAVIS ST
Evanston, IL 60201
(42.045991, -87.678934)"
780,09FOOD-0066,Symphony's,82.0,08/31/2018,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",The floor under the cook line coolers is soiled. The floor under the cook line equipment is soiled. The floor under the dish machine is soiled. Sweep and mop the floors everyday. The baseboard on the cook line is damaged. The baseboard under the dish machine is damaged. The floor grout in the kitchen is damaged. Repair all damaged floor tiles and baseboard.,1945 CENTRAL ST,Evanston,IL,60201,"1945 CENTRAL ST
Evanston, IL 60201
(42.064333, -87.700924)"
715,09FOOD-0066,Symphony's,82.0,04/26/2018,"(25) FOOD EQUIPMENT AND UTENSILS: Single-service articles: storage, dispensing.",The plastic forks |  spoons |  etc. under the coffee warmers are stored incorrectly. Store with the handles all facing the same way.,1945 CENTRAL ST,Evanston,IL,60201,"1945 CENTRAL ST
Evanston, IL 60201
(42.064333, -87.700924)"
272,09FOOD-0066,Symphony's,82.0,04/26/2018,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",The floor in the kitchen is in disrepair. Re grout the damaged tile. The floor under the cook line equipment is soiled. Routinely clean the floor. The floor under the coffee makers in the wait station is soiled. Routinely clean the floor. The floor surrounding the grease trap is soiled. Routinely clean the floor.,1945 CENTRAL ST,Evanston,IL,60201,"1945 CENTRAL ST
Evanston, IL 60201
(42.064333, -87.700924)"
684,09FOOD-0358,Joy Yee's Noodles,82.0,12/18/2018,(10) CROSS CONTAMINATION: Food (ice) dispensing utensils properly stored.,Plastic spoons stored incorrectly. The spoons were correctly stored with the handles all facing up.,521 DAVIS ST,Evanston,IL,60201,"521 DAVIS ST
Evanston, IL 60201
(42.045991, -87.678934)"
679,09FOOD-0066,Symphony's,82.0,04/26/2018,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",The sides of the cooking equipment is heavily soiled. Routinely clean the surfaces.,1945 CENTRAL ST,Evanston,IL,60201,"1945 CENTRAL ST
Evanston, IL 60201
(42.064333, -87.700924)"
288,09FOOD-0358,Joy Yee's Noodles,82.0,12/18/2018,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION. Packaged tofu and cooked egg rolls were being stored in the front small walk in cooler at 49 F. They were moved to another cooler to lower the temperature.,521 DAVIS ST,Evanston,IL,60201,"521 DAVIS ST
Evanston, IL 60201
(42.045991, -87.678934)"
670,09FOOD-0066,Symphony's,82.0,12/19/2018,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",Floors under equipment and shelving are heavily soiled. Sweep and mop the floors everyday.,1945 CENTRAL ST,Evanston,IL,60201,"1945 CENTRAL ST
Evanston, IL 60201
(42.064333, -87.700924)"
309,09FOOD-0066,Symphony's,82.0,04/26/2018,"(37) FLOORS, WALLS AND CEILINGS: Walls, ceilings, equipment attached: constructed, good repair, clean surfaces; dustless cleaning methods.",The wall in various locations are in disrepair. Repair the damage.,1945 CENTRAL ST,Evanston,IL,60201,"1945 CENTRAL ST
Evanston, IL 60201
(42.064333, -87.700924)"
719,09FOOD-0358,Joy Yee's Noodles,82.0,12/18/2018,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",The can opener in the basement is soiled. Routinely clean the can opener.,521 DAVIS ST,Evanston,IL,60201,"521 DAVIS ST
Evanston, IL 60201
(42.045991, -87.678934)"
362,09FOOD-0066,Symphony's,82.0,12/19/2018,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",Cooking surfaces are heavily soiled. Clean all food contact surfaces throughout the day.,1945 CENTRAL ST,Evanston,IL,60201,"1945 CENTRAL ST
Evanston, IL 60201
(42.064333, -87.700924)"
1056,09FOOD-0358,Joy Yee's Noodles,82.0,08/27/2018,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Wipe cloths are being stored | on prep surfaces. Store the wipe cloths in the sanitizer bucket when not in use.,521 DAVIS ST,Evanston,IL,60201,"521 DAVIS ST
Evanston, IL 60201
(42.045991, -87.678934)"
1060,09FOOD-0066,Symphony's,82.0,04/26/2018,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Wipe cloths are being stored on prep surfaces. Store the wipe cloths in a sanitizer solution when not in use.,1945 CENTRAL ST,Evanston,IL,60201,"1945 CENTRAL ST
Evanston, IL 60201
(42.064333, -87.700924)"
373,09FOOD-0358,Joy Yee's Noodles,82.0,12/18/2018,"(41) OTHER OPERATIONS: Toxic items properly stored, labeled and used.",CRITICAL VIOLATION. The sanitizer bucket concentration is too strong. The concentration was corrected to 100 ppm of chlorine.,521 DAVIS ST,Evanston,IL,60201,"521 DAVIS ST
Evanston, IL 60201
(42.045991, -87.678934)"
536,09FOOD-0066,Symphony's,82.0,04/26/2018,"(14) FOOD EQUIPMENT AND UTENSILS: Food (ice) contact surfaces: designed, constructed, maintained, installed, located.",The shelf liners above the cook line are in disrepair. Replace/remove the liners. The wood cutting board attached to the grill is in disrepair and unable to be cleaned. Remove the cutting board.,1945 CENTRAL ST,Evanston,IL,60201,"1945 CENTRAL ST
Evanston, IL 60201
(42.064333, -87.700924)"
532,09FOOD-0066,Symphony's,82.0,12/19/2018,"(35) INSECT, RODENT, ANIMAL CONTROL: Presence of insects/rodents; outer openings protected; no birds, turtles, other animals.",CRITICAL VIOLATION. Roaches and a dead mouse were observed in the facility. Pest Control inspects the restaurant every two weeks |  however |  heavily soiled surfaces in the kitchen must be cleaned in order for pest control to be effective.,1945 CENTRAL ST,Evanston,IL,60201,"1945 CENTRAL ST
Evanston, IL 60201
(42.064333, -87.700924)"
713,09FOOD-0358,Joy Yee's Noodles,82.0,04/26/2018,"(15) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces: designed, constructed, maintained, installed, located.",The handsink partition in the men's bathroom is in disrepair. Repair the damage.,521 DAVIS ST,Evanston,IL,60201,"521 DAVIS ST
Evanston, IL 60201
(42.045991, -87.678934)"
815,15FOOD-0005,Valli Produce,86.0,04/05/2018,(2) FOOD: Original Container; properly labeled.,A container of (flour) is not labeled in the bakery area. Any item out of its original container must be labeled.,1910 DEMPSTER ST,Evanston,IL,60202,"1910 DEMPSTER ST
Evanston, IL 60202
(42.041109, -87.700019)"
531,15FOOD-0005,Valli Produce,86.0,12/17/2018,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",The slide tracks to the bakery display coolers are soiled. Clean all food debris from the slide tracks as needed.,1910 DEMPSTER ST,Evanston,IL,60202,"1910 DEMPSTER ST
Evanston, IL 60202
(42.041109, -87.700019)"
274,15FOOD-0005,Valli Produce,86.0,12/17/2018,(45) OTHER OPERATIONS: CERTIFIED FOOD HANDLER.,Some staff do not have food handlers. Ensure staff have a food handler certificate within 30 days of hire. Course providers can be found here: https://www.ansi.org/Accreditation/credentialing/certificate-issuers/AllDirectoryListing?prgID=237 pct 2C238 and statusID=4,1910 DEMPSTER ST,Evanston,IL,60202,"1910 DEMPSTER ST
Evanston, IL 60202
(42.041109, -87.700019)"
426,15FOOD-0005,Valli Produce,86.0,07/27/2018,"(37) FLOORS, WALLS AND CEILINGS: Walls, ceilings, equipment attached: constructed, good repair, clean surfaces; dustless cleaning methods.",The walls under the sinks in the deli kitchen are soiled. Clean the walls.,1910 DEMPSTER ST,Evanston,IL,60202,"1910 DEMPSTER ST
Evanston, IL 60202
(42.041109, -87.700019)"
1021,15FOOD-0005,Valli Produce,86.0,04/05/2018,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",The can opener in the deli kitchen is soiled. An employee washed and sanitized the equipment.,1910 DEMPSTER ST,Evanston,IL,60202,"1910 DEMPSTER ST
Evanston, IL 60202
(42.041109, -87.700019)"
711,15FOOD-0005,Valli Produce,86.0,12/17/2018,"(31) TOILET AND HAND WASHING FACILITIES: Number, convenient, accessible, designed, installed.",CRITICAL VIOLATION. Containers are being stored in the hand sink in the bakery kitchen. The hand sink must be accessible at all times. The items were removed.,1910 DEMPSTER ST,Evanston,IL,60202,"1910 DEMPSTER ST
Evanston, IL 60202
(42.041109, -87.700019)"
